S.No.,Time (Hr:min),Time (sec) ,Flux,Pressure (mb),Temperature (oC)
1,00:30,1800,10399.55556,1015.833,23.1
2,01:30,5400,10382.44444,1015.833,23.1
3,02:30,9000,10483.33333,1015.833,22.6
4,03:30,12600,10352,1015.833,22.6
5,04:30,16200,10460.44444,1015.833,21.7
6,05:30,19800,10379.77778,1015.833,21.7
7,06:30,23400,10425.11111,1015.74,20.7
8,07:30,27000,10434.66667,1015.74,20.7
9,08:30,30600,10344,1015.74,21.6
10,09:30,34200,10501.11111,1015.74,21.6
11,10:30,37800,10383.55556,1015.74,22.1
12,11:30,41400,10419.77778,1015.74,22.1
13,12:30,45000,10422,1015.192,22.4
14,13:30,48600,10477.11111,1015.192,22.4
15,14:30,52200,10322.22222,1015.192,23.6
16,15:30,55800,10334.44444,1015.192,23.6
17,16:30,59400,10454.44444,1015.192,22
18,17:30,63000,10455.55556,1015.192,22
19,18:30,66600,10516.22222,1013.886,22.5
20,19:30,70200,10500.22222,1013.886,22.5
21,20:30,73800,10443.33333,1013.886,21.9
22,21:30,77400,10529.33333,1013.886,21.9
23,22:30,81000,10424.66667,1013.886,22.2
24,23:30,84600,10483.33333,1013.886,22.2
25,00:30,88200,10427.55556,1014,22
26,01:30,91800,10420.44444,1014,22
27,02:30,95400,10432.66667,1014,22.2
28,03:30,99000,10558,1014,22.2
29,04:30,102600,10495.33333,1014,21.8
30,05:30,106200,10575.55556,1014,21.8
31,06:30,109800,10418.44444,1015.178,20.4
32,07:30,113400,10434.44444,1015.178,20.4
33,08:30,117000,10458.22222,1015.178,20.6
34,09:30,120600,10423.33333,1015.178,20.6
35,10:30,124200,10508.22222,1015.178,20.7
36,11:30,127800,10489.11111,1015.178,20.7
37,12:30,131400,10365.11111,1017,20.7
38,13:30,135000,10337.55556,1017,20.7
39,14:30,138600,10428.88889,1017,22.6
40,15:30,142200,10496,1017,22.6
41,16:30,145800,10395.55556,1017,22.7
42,17:30,149400,10409.55556,1017,22.7
43,18:30,153000,10388.88889,1018.329,22.5
44,19:30,156600,10406.44444,1018.329,22.5
45,20:30,160200,10377.33333,1018.329,22.3
46,21:30,163800,10377.33333,1018.329,22.3
47,22:30,167400,10346,1018.329,21.6
48,23:30,171000,10335.77778,1018.329,21.6
49,00:30,174600,10277.11111,1020.569,21.8
50,01:30,178200,10228.44444,1020.569,21.8
51,02:30,181800,10334.66667,1020.569,22
52,03:30,185400,10223.77778,1020.569,22
53,04:30,189000,10214.88889,1020.569,21.6
54,05:30,192600,10234,1020.569,21.6
55,06:30,196200,10212.88889,1021.932,20.4
56,07:30,199800,10242.22222,1021.932,20.4
57,08:30,203400,10173.77778,1021.932,21.1
58,09:30,207000,10120,1021.932,21.1
59,10:30,210600,10268,1021.932,21.1
60,11:30,214200,10152,1021.932,21.1
61,12:30,217800,10098.22222,1023.027,21.5
62,13:30,221400,10219.55556,1023.027,21.5
63,14:30,225000,10145.77778,1023.027,23.1
64,15:30,228600,10260.22222,1023.027,23.1
65,16:30,232200,10200,1023.027,22.6
66,17:30,235800,10364.66667,1023.027,22.6
67,18:30,239400,10218.44444,1022.729,21.5
68,19:30,243000,10240.66667,1022.729,21.5
69,20:30,246600,10361.11111,1022.729,22.1
70,21:30,250200,10224,1022.729,22.1
71,22:30,253800,10159.55556,1022.729,22.1
72,23:30,257400,10212.88889,1022.729,22.1
73,00:30,261000,10104.88889,1023.806,22
74,01:30,264600,10058.44444,1023.806,22
75,02:30,268200,10104.88889,1023.806,21.6
76,03:30,271800,10136.66667,1023.806,21.6
77,04:30,275400,10126.22222,1023.806,21.4
78,05:30,279000,10177.33333,1023.806,21.4
79,06:30,282600,10281.55556,1023.178,20.3
80,07:30,286200,10227.11111,1023.178,20.3
81,08:30,289800,10213.77778,1023.178,21.4
82,09:30,293400,10125.55556,1023.178,21.4
83,10:30,297000,10207.33333,1023.178,21.5
84,11:30,300600,10225.11111,1023.178,21.5
85,12:30,304200,10209.55556,1023.521,21
86,13:30,307800,10162,1023.521,21
87,14:30,311400,10244.88889,1023.521,22
88,15:30,315000,10148.88889,1023.521,22
89,16:30,318600,10193.77778,1023.521,22
90,17:30,322200,10221.33333,1023.521,22
91,18:30,325800,9975.777778,1022.397,21.9
92,19:30,329400,10427.33333,1022.397,21.9
93,20:30,333000,10491.11111,1022.397,21.6
94,21:30,336600,10445.55556,1022.397,21.6
95,22:30,340200,10316,1022.397,21.9
96,23:30,343800,10483.77778,1022.397,21.9
97,00:30,347400,10499.11111,1022.236,22
98,01:30,351000,10375.77778,1022.236,22
99,02:30,354600,10420,1022.236,21.4
100,03:30,358200,10424,1022.236,21.4
101,04:30,361800,10453.11111,1022.236,21.5
102,05:30,365400,10456.22222,1022.236,21.5
103,06:30,369000,10480.22222,1021.438,20.5
104,07:30,372600,10401.33333,1021.438,20.5
105,08:30,376200,10446.66667,1021.438,20.9
106,09:30,379800,10483.77778,1021.438,20.9
107,10:30,383400,10488.22222,1021.438,21
108,11:30,387000,10442.22222,1021.438,21
109,12:30,390600,10528.66667,1021.562,20.9
110,13:30,394200,10510.88889,1021.562,20.9
111,14:30,397800,10536.88889,1021.562,23.4
112,15:30,401400,10456.88889,1021.562,23.4
113,16:30,405000,10571.55556,1021.562,22.5
114,17:30,408600,10474.22222,1021.562,22.5
115,18:30,412200,10584.22222,1020.831,22.6
116,19:30,415800,10460.88889,1020.831,22.6
117,20:30,419400,10498.44444,1020.831,22.2
118,21:30,423000,10595.55556,1020.831,22.2
119,22:30,426600,10469.11111,1020.831,22.4
120,23:30,430200,10475.55556,1020.831,22.4
121,00:30,433800,10449.55556,1021,21.9
122,01:30,437400,10395.77778,1021,21.9
123,02:30,441000,10477.55556,1021,22.5
124,03:30,444600,10463.77778,1021,22.5
125,04:30,448200,10435.11111,1021,20.9
126,05:30,451800,10438,1021,20.9
127,06:30,455400,10495.77778,1021.164,19.5
128,07:30,459000,10408.44444,1021.164,19.5
129,08:30,462600,10490.44444,1021.164,20.2
130,09:30,466200,10477.77778,1021.164,20.2
